Provider,Location,Device,Aggregate Date,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Tajikistan,,Sep-19,median,,,7.74,5.61
All Providers Combined,Tajikistan,,Sep-19,mean,,,20.41,19.83
All Providers Combined,Uzbekistan,,Sep-19,median,,,8.02,7.12
All Providers Combined,Uzbekistan,,Sep-19,mean,,,19.91,18.73
All Providers Combined,Azerbaijan,,Oct-19,median,,,10.72,11.64
All Providers Combined,Azerbaijan,,Oct-19,mean,,,22.34,24.49
All Providers Combined,Armenia,,Oct-19,median,,,19.03,18.37
All Providers Combined,Armenia,,Oct-19,mean,,,26.05,26.37
All Providers Combined,Belarus,,Oct-19,median,,,37,32.65
All Providers Combined,Belarus,,Oct-19,mean,,,52.95,43.26
All Providers Combined,Kazakhstan,,Oct-19,median,,,23.43,23.7
All Providers Combined,Kazakhstan,,Oct-19,mean,,,40.14,40.63
All Providers Combined,Kyrgyzstan,,Oct-19,median,,,22.81,25.69
All Providers Combined,Kyrgyzstan,,Oct-19,mean,,,30.19,32.61
All Providers Combined,Russia,,Oct-19,median,,,41.61,47.47
All Providers Combined,Russia,,Oct-19,mean,,,60.91,67.79
All Providers Combined,Tajikistan,,Oct-19,median,,,9.13,6.83
All Providers Combined,Tajikistan,,Oct-19,mean,,,21.1,21.55
All Providers Combined,Uzbekistan,,Oct-19,median,,,7.83,7.63
All Providers Combined,Uzbekistan,,Oct-19,mean,,,18.9,19.27
All Providers Combined,Azerbaijan,,Nov-19,median,,,10.18,10.9
All Providers Combined,Azerbaijan,,Nov-19,mean,,,21.2,23.49
All Providers Combined,Armenia,,Nov-19,median,,,19.32,19.14
All Providers Combined,Armenia,,Nov-19,mean,,,25.88,26.52
All Providers Combined,Belarus,,Nov-19,median,,,35.12,31.25
All Providers Combined,Belarus,,Nov-19,mean,,,51.5,42.92
All Providers Combined,Kazakhstan,,Nov-19,median,,,21.55,23.14
All Providers Combined,Kazakhstan,,Nov-19,mean,,,40,41.76
All Providers Combined,Kyrgyzstan,,Nov-19,median,,,21.67,24.81
All Providers Combined,Kyrgyzstan,,Nov-19,mean,,,29.51,31.3
All Providers Combined,Russia,,Nov-19,median,,,41.3,47.45
All Providers Combined,Russia,,Nov-19,mean,,,60.75,67.59
All Providers Combined,Tajikistan,,Nov-19,median,,,8.8,7
All Providers Combined,Tajikistan,,Nov-19,mean,,,21.15,22.37
All Providers Combined,Uzbekistan,,Nov-19,median,,,10.03,9.85
All Providers Combined,Uzbekistan,,Nov-19,mean,,,21.47,21.59
All Providers Combined,Azerbaijan,,Dec-19,median,,,10.34,11.21
All Providers Combined,Azerbaijan,,Dec-19,mean,,,22.29,24.52
All Providers Combined,Armenia,,Dec-19,median,,,19.78,19.52
All Providers Combined,Armenia,,Dec-19,mean,,,27.02,27.38
All Providers Combined,Belarus,,Dec-19,median,,,31.25,29.34
All Providers Combined,Belarus,,Dec-19,mean,,,50.39,43.68
All Providers Combined,Kazakhstan,,Dec-19,median,,,22.64,25.23
All Providers Combined,Kazakhstan,,Dec-19,mean,,,42.53,44.24
All Providers Combined,Kyrgyzstan,,Dec-19,median,,,23.13,25.92
All Providers Combined,Kyrgyzstan,,Dec-19,mean,,,31.56,32.51
All Providers Combined,Russia,,Dec-19,median,,,41.59,47.73
All Providers Combined,Russia,,Dec-19,mean,,,61.71,68.4
All Providers Combined,Tajikistan,,Dec-19,median,,,9.07,7.42
All Providers Combined,Tajikistan,,Dec-19,mean,,,20.57,21.7
All Providers Combined,Uzbekistan,,Dec-19,median,,,10.68,10.33
All Providers Combined,Uzbekistan,,Dec-19,mean,,,22.49,22.42
All Providers Combined,Azerbaijan,,Jan-20,median,,,9.81,10.39
All Providers Combined,Azerbaijan,,Jan-20,mean,,,20.02,22.24
All Providers Combined,Armenia,,Jan-20,median,,,18.93,18.62
All Providers Combined,Armenia,,Jan-20,mean,,,25.67,25.93
All Providers Combined,Belarus,,Jan-20,median,,,31.52,28.59
All Providers Combined,Belarus,,Jan-20,mean,,,50.94,43.37
All Providers Combined,Kazakhstan,,Jan-20,median,,,22.1,22.19
All Providers Combined,Kazakhstan,,Jan-20,mean,,,41.45,41.04
All Providers Combined,Kyrgyzstan,,Jan-20,median,,,23.02,25.58
All Providers Combined,Kyrgyzstan,,Jan-20,mean,,,29.69,32.16
All Providers Combined,Russia,,Jan-20,median,,,42.33,47.8
All Providers Combined,Russia,,Jan-20,mean,,,62.68,68.9
All Providers Combined,Tajikistan,,Jan-20,median,,,9.39,7.5
All Providers Combined,Tajikistan,,Jan-20,mean,,,22.75,23.82
All Providers Combined,Uzbekistan,,Jan-20,median,,,12.3,10.79
All Providers Combined,Uzbekistan,,Jan-20,mean,,,24.75,24.94
All Providers Combined,Azerbaijan,,Feb-20,median,,,9.92,10.36
All Providers Combined,Azerbaijan,,Feb-20,mean,,,20.24,22.39
All Providers Combined,Armenia,,Feb-20,median,,,19.37,18.77
All Providers Combined,Armenia,,Feb-20,mean,,,26.79,26.59
All Providers Combined,Belarus,,Feb-20,median,,,32.32,29.13
All Providers Combined,Belarus,,Feb-20,mean,,,52.58,44.74
All Providers Combined,Kazakhstan,,Feb-20,median,,,21.75,21.32
All Providers Combined,Kazakhstan,,Feb-20,mean,,,40.95,40.57
All Providers Combined,Kyrgyzstan,,Feb-20,median,,,24.29,26.59
All Providers Combined,Kyrgyzstan,,Feb-20,mean,,,32.1,36.12
All Providers Combined,Russia,,Feb-20,median,,,42.36,48.52
All Providers Combined,Russia,,Feb-20,mean,,,63.28,70.44
All Providers Combined,Tajikistan,,Feb-20,median,,,8.55,7.05
