Provider,Location,Device,Aggregate Date,Technology Type,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Armenia,,Sep-19,cellular,median,,,22.2,10.66
All Providers Combined,Armenia,,Sep-19,cellular,mean,,,31.01,13.85
All Providers Combined,Belarus,,Sep-19,cellular,median,,,7.89,4.48
All Providers Combined,Belarus,,Sep-19,cellular,mean,,,12.59,9.06
All Providers Combined,Kazakhstan,,Sep-19,cellular,median,,,12.62,9.49
All Providers Combined,Kazakhstan,,Sep-19,cellular,mean,,,19.03,12.19
All Providers Combined,Kyrgyzstan,,Sep-19,cellular,median,,,13.31,8.57
All Providers Combined,Kyrgyzstan,,Sep-19,cellular,mean,,,17.3,11.22
All Providers Combined,Russia,,Sep-19,cellular,median,,,13.54,7.28
All Providers Combined,Russia,,Sep-19,cellular,mean,,,20.99,10.21
All Providers Combined,Tajikistan,,Sep-19,cellular,median,,,5.5,2.59
All Providers Combined,Tajikistan,,Sep-19,cellular,mean,,,8.9,5.23
All Providers Combined,Uzbekistan,,Sep-19,cellular,median,,,6.44,3.46
All Providers Combined,Uzbekistan,,Sep-19,cellular,mean,,,10.79,5.71
All Providers Combined,Azerbaijan,,Oct-19,cellular,median,,,22.98,11.17
All Providers Combined,Azerbaijan,,Oct-19,cellular,mean,,,28.93,15.8
All Providers Combined,Armenia,,Oct-19,cellular,median,,,21.52,10.68
All Providers Combined,Armenia,,Oct-19,cellular,mean,,,30.86,13.91
All Providers Combined,Belarus,,Oct-19,cellular,median,,,8.36,4.8
All Providers Combined,Belarus,,Oct-19,cellular,mean,,,13.28,9.68
All Providers Combined,Kazakhstan,,Oct-19,cellular,median,,,12.04,9.43
All Providers Combined,Kazakhstan,,Oct-19,cellular,mean,,,18.61,12.19
All Providers Combined,Kyrgyzstan,,Oct-19,cellular,median,,,13,8.93
All Providers Combined,Kyrgyzstan,,Oct-19,cellular,mean,,,16.77,11.66
All Providers Combined,Russia,,Oct-19,cellular,median,,,13.05,7.41
All Providers Combined,Russia,,Oct-19,cellular,mean,,,20.41,10.3
All Providers Combined,Tajikistan,,Oct-19,cellular,median,,,6.43,2.94
All Providers Combined,Tajikistan,,Oct-19,cellular,mean,,,10.81,5.69
