Type,Observations,Mean_Download,Median_Download,Mean_Upload,Median_Upload,SD_Download,IQR_Download,MAD_Download,SD_Upload,IQR_Upload,MAD_Upload,Min_Download,Max_Download,Min_Upload,Max_Upload,P25_Download,P75_Download,P25_Upload,P75_Upload,CV_Download,CV_Upload
Fixed_Median,78,29.278846153846153,21.505000000000003,29.778717948717947,22.925,23.19980440920515,25.3425,16.271535,23.06865458385088,23.810000000000002,17.049899999999997,5.41,84.84,2.38,85.27,11.46,36.8025,12.655,36.465,0.7923742721042153,0.7746691655288016
Fixed_Mean,78,47.69230769230769,30.97,46.44346153846154,32.519999999999996,39.3948781008321,30.6075,12.957923999999997,34.68241497706523,25.35,12.854141999999994,14.17,155.32,14.86,140.98,22.875,53.4825,24.682499999999997,50.0325,0.8260216375980924,0.746766365559196
Cellular_Median,78,37.695128205128206,32.2,11.324358974358974,10.18,14.012522668734261,21.664999999999996,12.379710000000005,3.125517345122032,4.09,2.253551999999999,20.85,69.82,7.21,19.36,26.3625,48.027499999999996,8.955,13.045,0.3717329887427718,0.27599949385205313
Cellular_Mean,78,49.34371794871795,42.614999999999995,16.89576923076923,15.864999999999998,18.866296349453116,29.309999999999995,18.058068000000002,2.786994153848625,3.3050000000000015,1.6827509999999997,27.05,90.77,13.35,23.75,32.8325,62.1425,14.9475,18.2525,0.38234444289464614,0.16495219103568087
