Type,MetricType,Variable,Intercept,Slope,SE_Slope,SE_Slope_Robust,CI_Lower,CI_Upper,P_Value,R_Squared,Adj_R_Squared,Residual_SE,DW_Statistic,DW_PValue,Shapiro_W,Shapiro_PValue
Fixed,median,DownloadSpeed,-7.0722777222777475,0.9202816171170606,0.05145811202006707,0.12105343598184717,0.8177939048626661,1.022769329371455,5.891448175193363e-29,0.8080035983520324,0.805477329909296,10.232209760531514,0.03913398996651662,1.6794994322592105e-60,0.9006424842642553,1.6252520193254963e-5
Fixed,median,UploadSpeed,-6.634059274059285,0.9218424613361323,0.04954408292450297,0.11607594455751805,0.8231668684054358,1.0205180542668288,5.048049660586517e-30,0.8199914657610176,0.8176229324157678,9.8516138462093,0.051422291870041596,2.780592906189753e-55,0.9097921705945209,4.010204968137076e-5
Fixed,mean,DownloadSpeed,-8.808361638361653,1.4303966919156796,0.11333902115989278,0.26692604140494214,1.2046624678675841,1.6561309159637752,2.4721214601030194e-20,0.6769770095275547,0.6727267070213383,22.536944964267093,0.03192988945442302,1.4343154175638117e-64,0.918978137852284,1.0411930994701708e-4
Fixed,mean,UploadSpeed,-3.49042957042961,1.264149141997244,0.09896965683655536,0.23092074650054933,1.0670339872899448,1.461264296704543,1.3240053121604289e-20,0.6822105257844796,0.6780290853342754,19.679662718378456,0.03996301019708028,4.3109147192100684e-60,0.9226397348340065,1.5450840976837606e-4
Cellular,median,DownloadSpeed,14.384458874458858,0.5901435273587174,0.021184655127054433,0.04175223103426052,0.5479506299973947,0.6323364247200401,1.2407617020276448e-41,0.9108001383969798,0.9096264560074664,4.212471590096589,0.2031607632507442,4.112124326780865e-31,0.9852987504716496,0.5102160072969333
Cellular,median,UploadSpeed,6.749863469863466,0.11581001277203817,0.008593225964196797,0.017731889950319116,0.09869511999066005,0.1329249055534163,7.708533757344728e-22,0.7049995506928503,0.7011179658335457,1.7087236032098925,0.26214933362459003,6.997764516928209e-27,0.9562401108684095,0.009112696992737621
Cellular,mean,DownloadSpeed,18.00546120546115,0.7933735884368802,0.0289548951663956,0.062172058356812235,0.7357049168188374,0.851042260054923,3.89602083108697e-41,0.9080768856167855,0.9068673709538484,5.757548213607655,0.1700426540779976,4.110389633168796e-34,0.9584803671997962,0.012351179422138312
Cellular,mean,UploadSpeed,12.63677322677321,0.10782268364546858,0.006786725237909635,0.014034191102772781,0.0943057488799398,0.12133961841099737,7.292774047817195e-26,0.7685791636085245,0.7655341526033735,1.3495092123532209,0.24584992366550715,6.1308350983341555e-28,0.9497829804386901,0.0038821327661643203
