Country,Observations,MeanDownload,MeanUpload,MinDownload,MaxDownload
Russia,78,67.65448717948718,72.37333333333333,32.23,91.47
Belarus,78,50.98833333333334,42.32897435897436,25.93,85.47
Kyrgyzstan,78,47.163589743589746,46.04589743589744,13.64,85.32
Uzbekistan,78,42.860512820512824,42.03230769230769,4.75,89.67
Kazakhstan,78,42.38576923076923,41.98871794871795,17.75,84.51
Armenia,78,38.3248717948718,36.38871794871795,15.81,73.89
Azerbaijan,78,29.278846153846153,29.778717948717947,5.41,84.84
Tajikistan,78,21.665128205128205,20.423461538461538,6.33,40.26
