Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,Technology,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2020-10-01T00:00:00Z,2020,10,4,2020-Q4,2020-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.45,14.58,NA,NA,NA,Oct-20
2020-10-01T00:00:00Z,2020,10,4,2020-Q4,2020-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.09,9.48,NA,NA,NA,Oct-20
2020-11-01T00:00:00Z,2020,11,4,2020-Q4,2020-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.45,15.86,NA,NA,NA,Nov-20
2020-11-01T00:00:00Z,2020,11,4,2020-Q4,2020-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.23,10.25,NA,NA,NA,Nov-20
2020-12-01T00:00:00Z,2020,12,4,2020-Q4,2020-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.44,15.02,NA,NA,NA,Dec-20
2020-12-01T00:00:00Z,2020,12,4,2020-Q4,2020-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.43,8.95,NA,NA,NA,Dec-20
2021-01-01T00:00:00Z,2021,1,1,2021-Q1,2021-01,Azerbaijan,All Providers Combined,Cellular,cellular,mean,32.78,14.84,NA,NA,NA,Jan-21
2021-01-01T00:00:00Z,2021,1,1,2021-Q1,2021-01,Azerbaijan,All Providers Combined,Cellular,cellular,median,26.26,8.79,NA,NA,NA,Jan-21
2021-02-01T00:00:00Z,2021,2,1,2021-Q1,2021-02,Azerbaijan,All Providers Combined,Cellular,cellular,mean,35.19,15.9,NA,NA,NA,Feb-21
2021-02-01T00:00:00Z,2021,2,1,2021-Q1,2021-02,Azerbaijan,All Providers Combined,Cellular,cellular,median,28.72,9.97,NA,NA,NA,Feb-21
2021-03-01T00:00:00Z,2021,3,1,2021-Q1,2021-03,Azerbaijan,All Providers Combined,Cellular,cellular,mean,35.5,15.1,NA,NA,NA,Mar-21
2021-03-01T00:00:00Z,2021,3,1,2021-Q1,2021-03,Azerbaijan,All Providers Combined,Cellular,cellular,median,28.43,8.92,NA,NA,NA,Mar-21
2021-04-01T00:00:00Z,2021,4,2,2021-Q2,2021-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,38.05,15.75,NA,NA,NA,Apr-21
2021-04-01T00:00:00Z,2021,4,2,2021-Q2,2021-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,30.97,9.47,NA,NA,NA,Apr-21
2021-05-01T00:00:00Z,2021,5,2,2021-Q2,2021-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,36.34,14.35,NA,NA,NA,May-21
2021-05-01T00:00:00Z,2021,5,2,2021-Q2,2021-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,27.5,7.33,NA,NA,NA,May-21
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,37.11,14.97,NA,NA,NA,Jun-21
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,29.27,8.35,NA,NA,NA,Jun-21
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,37.24,14.59,NA,NA,NA,Jul-21
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,27.46,7.98,NA,NA,NA,Jul-21
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,39.25,14.83,NA,NA,NA,Aug-21
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,29.93,8.06,NA,NA,NA,Aug-21
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,40.69,15.39,NA,NA,NA,Sep-21
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,31.4,9.04,NA,NA,NA,Sep-21
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,38.71,15.13,NA,NA,NA,Oct-21
