Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date,Technology
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Armenia,All Providers Combined,Fixed,mean,25.67,25.93,NA,NA,NA,Jan-20,NA
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Armenia,All Providers Combined,Fixed,median,18.93,18.62,NA,NA,NA,Jan-20,NA
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Armenia,All Providers Combined,Cellular,mean,29.03,12.07,NA,NA,NA,Feb-20,cellular
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Armenia,All Providers Combined,Cellular,median,20.63,8.46,NA,NA,NA,Feb-20,cellular
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Armenia,All Providers Combined,Fixed,mean,26.79,26.59,NA,NA,NA,Feb-20,NA
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Armenia,All Providers Combined,Fixed,median,19.37,18.77,NA,NA,NA,Feb-20,NA
2020-03-01T00:00:00Z,2020,3,1,2020-Q1,2020-03,Armenia,All Providers Combined,Cellular,mean,29.32,12.37,NA,NA,NA,Mar-20,cellular
2020-03-01T00:00:00Z,2020,3,1,2020-Q1,2020-03,Armenia,All Providers Combined,Cellular,median,20.4,8.58,NA,NA,NA,Mar-20,cellular
2020-03-01T00:00:00Z,2020,3,1,2020-Q1,2020-03,Armenia,All Providers Combined,Fixed,mean,27.13,27.18,NA,NA,NA,Mar-20,NA
2020-03-01T00:00:00Z,2020,3,1,2020-Q1,2020-03,Armenia,All Providers Combined,Fixed,median,19.48,19.2,NA,NA,NA,Mar-20,NA
2020-04-01T00:00:00Z,2020,4,2,2020-Q2,2020-04,Armenia,All Providers Combined,Cellular,mean,33.23,12.95,NA,NA,NA,Apr-20,cellular
2020-04-01T00:00:00Z,2020,4,2,2020-Q2,2020-04,Armenia,All Providers Combined,Cellular,median,23.11,8.71,NA,NA,NA,Apr-20,cellular
2020-04-01T00:00:00Z,2020,4,2,2020-Q2,2020-04,Armenia,All Providers Combined,Fixed,mean,26.18,25.53,NA,NA,NA,Apr-20,NA
2020-04-01T00:00:00Z,2020,4,2,2020-Q2,2020-04,Armenia,All Providers Combined,Fixed,median,19.25,18.75,NA,NA,NA,Apr-20,NA
2020-05-01T00:00:00Z,2020,5,2,2020-Q2,2020-05,Armenia,All Providers Combined,Cellular,mean,34.72,13.28,NA,NA,NA,May-20,cellular
2020-05-01T00:00:00Z,2020,5,2,2020-Q2,2020-05,Armenia,All Providers Combined,Cellular,median,24.84,9.53,NA,NA,NA,May-20,cellular
2020-05-01T00:00:00Z,2020,5,2,2020-Q2,2020-05,Armenia,All Providers Combined,Fixed,mean,26.8,25.64,NA,NA,NA,May-20,NA
2020-05-01T00:00:00Z,2020,5,2,2020-Q2,2020-05,Armenia,All Providers Combined,Fixed,median,19.38,18.5,NA,NA,NA,May-20,NA
2020-06-01T00:00:00Z,2020,6,2,2020-Q2,2020-06,Armenia,All Providers Combined,Cellular,mean,34.04,13.21,NA,NA,NA,Jun-20,cellular
2020-06-01T00:00:00Z,2020,6,2,2020-Q2,2020-06,Armenia,All Providers Combined,Cellular,median,23.49,8.82,NA,NA,NA,Jun-20,cellular
2020-06-01T00:00:00Z,2020,6,2,2020-Q2,2020-06,Armenia,All Providers Combined,Fixed,mean,26.99,26.17,NA,NA,NA,Jun-20,NA
2020-06-01T00:00:00Z,2020,6,2,2020-Q2,2020-06,Armenia,All Providers Combined,Fixed,median,19.54,18.95,NA,NA,NA,Jun-20,NA
2020-07-01T00:00:00Z,2020,7,3,2020-Q3,2020-07,Armenia,All Providers Combined,Cellular,mean,33.61,13.16,NA,NA,NA,Jul-20,cellular
2020-07-01T00:00:00Z,2020,7,3,2020-Q3,2020-07,Armenia,All Providers Combined,Cellular,median,23.01,8.96,NA,NA,NA,Jul-20,cellular
2020-07-01T00:00:00Z,2020,7,3,2020-Q3,2020-07,Armenia,All Providers Combined,Fixed,mean,29.27,27.67,NA,NA,NA,Jul-20,NA
2020-07-01T00:00:00Z,2020,7,3,2020-Q3,2020-07,Armenia,All Providers Combined,Fixed,median,20.79,19.89,NA,NA,NA,Jul-20,NA
2020-08-01T00:00:00Z,2020,8,3,2020-Q3,2020-08,Armenia,All Providers Combined,Cellular,mean,36.04,14,NA,NA,NA,Aug-20,cellular
2020-08-01T00:00:00Z,2020,8,3,2020-Q3,2020-08,Armenia,All Providers Combined,Cellular,median,25.23,10.1,NA,NA,NA,Aug-20,cellular
2020-08-01T00:00:00Z,2020,8,3,2020-Q3,2020-08,Armenia,All Providers Combined,Fixed,mean,30.49,28.51,NA,NA,NA,Aug-20,NA
2020-08-01T00:00:00Z,2020,8,3,2020-Q3,2020-08,Armenia,All Providers Combined,Fixed,median,22.13,20.21,NA,NA,NA,Aug-20,NA
2020-09-01T00:00:00Z,2020,9,3,2020-Q3,2020-09,Armenia,All Providers Combined,Cellular,mean,28.25,11.2,NA,NA,NA,Sep-20,cellular
2020-09-01T00:00:00Z,2020,9,3,2020-Q3,2020-09,Armenia,All Providers Combined,Cellular,median,16.81,6.43,NA,NA,NA,Sep-20,cellular
