Country,Observations,MeanDownload,MeanUpload,MinDownload,MaxDownload
Azerbaijan,78,37.695128205128206,11.324358974358974,20.85,69.82
Kazakhstan,78,28.270384615384614,10.497948717948718,10.01,67.71
Armenia,78,26.367435897435897,10.277564102564103,15.81,60.96
Kyrgyzstan,78,23.331923076923076,9.535128205128204,10.47,45.91
Russia,78,20.49692307692308,7.447435897435898,12.06,30.57
Uzbekistan,78,19.132051282051282,8.46076923076923,6.09,43.77
Belarus,78,10.799358974358974,5.601025641025641,7.87,15.62
Tajikistan,78,8.014615384615384,4.506666666666667,4.74,13.39
