Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,Technology,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Belarus,All Providers Combined,Cellular,cellular,mean,14.07,8.79,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kazakhstan,All Providers Combined,Cellular,cellular,median,14.28,9.4,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kazakhstan,All Providers Combined,Cellular,cellular,mean,20.17,12.13,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kyrgyzstan,All Providers Combined,Cellular,cellular,median,13.03,7.48,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kyrgyzstan,All Providers Combined,Cellular,cellular,mean,16.83,10.42,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Russia,All Providers Combined,Cellular,cellular,median,13.8,6.67,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Russia,All Providers Combined,Cellular,cellular,mean,21.04,9.63,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Tajikistan,All Providers Combined,Cellular,cellular,median,5.2,1.77,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Tajikistan,All Providers Combined,Cellular,cellular,mean,10.34,4.88,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Uzbekistan,All Providers Combined,Cellular,cellular,median,6.41,3.26,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Uzbekistan,All Providers Combined,Cellular,cellular,mean,9.63,5.54,NA,NA,NA,Jun-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.1,9.07,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.58,14.08,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Armenia,All Providers Combined,Cellular,cellular,median,20.81,9.12,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Armenia,All Providers Combined,Cellular,cellular,mean,30.84,13.21,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Belarus,All Providers Combined,Cellular,cellular,median,8.97,4.22,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Belarus,All Providers Combined,Cellular,cellular,mean,14.1,8.89,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Kazakhstan,All Providers Combined,Cellular,cellular,median,13.74,9.39,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Kazakhstan,All Providers Combined,Cellular,cellular,mean,19.85,12.18,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Kyrgyzstan,All Providers Combined,Cellular,cellular,median,12.93,7.8,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Kyrgyzstan,All Providers Combined,Cellular,cellular,mean,16.65,10.65,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Russia,All Providers Combined,Cellular,cellular,median,13.25,6.6,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Russia,All Providers Combined,Cellular,cellular,mean,20.47,9.49,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Tajikistan,All Providers Combined,Cellular,cellular,median,5.85,2.42,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Tajikistan,All Providers Combined,Cellular,cellular,mean,10.61,5.24,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Uzbekistan,All Providers Combined,Cellular,cellular,median,6.66,3.13,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Uzbekistan,All Providers Combined,Cellular,cellular,mean,9.77,5.59,NA,NA,NA,Jul-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.24,9.62,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,30.52,14.45,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Armenia,All Providers Combined,Cellular,cellular,median,21.55,10.11,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Armenia,All Providers Combined,Cellular,cellular,mean,30.39,13.47,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Belarus,All Providers Combined,Cellular,cellular,median,8.99,4.29,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Belarus,All Providers Combined,Cellular,cellular,mean,14.19,9.03,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Kazakhstan,All Providers Combined,Cellular,cellular,median,13.57,9.5,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Kazakhstan,All Providers Combined,Cellular,cellular,mean,19.69,12.26,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Kyrgyzstan,All Providers Combined,Cellular,cellular,median,12.62,7.62,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Kyrgyzstan,All Providers Combined,Cellular,cellular,mean,17.26,10.81,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Russia,All Providers Combined,Cellular,cellular,median,13.3,6.73,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Russia,All Providers Combined,Cellular,cellular,mean,20.53,9.64,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Tajikistan,All Providers Combined,Cellular,cellular,median,5.39,2.36,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Tajikistan,All Providers Combined,Cellular,cellular,mean,9.8,5.53,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Uzbekistan,All Providers Combined,Cellular,cellular,median,6.15,3.3,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Uzbekistan,All Providers Combined,Cellular,cellular,mean,9.38,5.61,NA,NA,NA,Aug-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,23.81,10.55,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.81,15.44,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Armenia,All Providers Combined,Cellular,cellular,median,22.2,10.66,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Armenia,All Providers Combined,Cellular,cellular,mean,31.01,13.85,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Belarus,All Providers Combined,Cellular,cellular,median,7.89,4.48,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Belarus,All Providers Combined,Cellular,cellular,mean,12.59,9.06,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Kazakhstan,All Providers Combined,Cellular,cellular,median,12.62,9.49,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Kazakhstan,All Providers Combined,Cellular,cellular,mean,19.03,12.19,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Kyrgyzstan,All Providers Combined,Cellular,cellular,median,13.31,8.57,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Kyrgyzstan,All Providers Combined,Cellular,cellular,mean,17.3,11.22,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Russia,All Providers Combined,Cellular,cellular,median,13.54,7.28,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Russia,All Providers Combined,Cellular,cellular,mean,20.99,10.21,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Tajikistan,All Providers Combined,Cellular,cellular,median,5.5,2.59,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Tajikistan,All Providers Combined,Cellular,cellular,mean,8.9,5.23,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Uzbekistan,All Providers Combined,Cellular,cellular,median,6.44,3.46,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Uzbekistan,All Providers Combined,Cellular,cellular,mean,10.79,5.71,NA,NA,NA,Sep-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.98,11.17,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,28.93,15.8,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Armenia,All Providers Combined,Cellular,cellular,median,21.52,10.68,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Armenia,All Providers Combined,Cellular,cellular,mean,30.86,13.91,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Belarus,All Providers Combined,Cellular,cellular,median,8.36,4.8,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Belarus,All Providers Combined,Cellular,cellular,mean,13.28,9.68,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Kazakhstan,All Providers Combined,Cellular,cellular,median,12.04,9.43,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Kazakhstan,All Providers Combined,Cellular,cellular,mean,18.61,12.19,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Kyrgyzstan,All Providers Combined,Cellular,cellular,median,13,8.93,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Kyrgyzstan,All Providers Combined,Cellular,cellular,mean,16.77,11.66,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Russia,All Providers Combined,Cellular,cellular,median,13.05,7.41,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Russia,All Providers Combined,Cellular,cellular,mean,20.41,10.3,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Tajikistan,All Providers Combined,Cellular,cellular,median,6.43,2.94,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Tajikistan,All Providers Combined,Cellular,cellular,mean,10.81,5.69,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Uzbekistan,All Providers Combined,Cellular,cellular,median,6.2,3.63,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Uzbekistan,All Providers Combined,Cellular,cellular,mean,9.48,5.73,NA,NA,NA,Oct-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,23.97,10.96,NA,NA,NA,Nov-19
