Country,Observations,Mean_Download,Median_Download,SD_Download,IQR_Download,Min_Download,Max_Download
Azerbaijan,78,37.695128205128206,32.2,14.012522668734261,21.664999999999996,20.85,69.82
Armenia,78,26.367435897435897,24.215,8.375209310956414,7.907500000000002,15.81,60.96
Russia,78,20.49692307692308,21.255,5.559725142157988,10.03,12.06,30.57
Kazakhstan,78,28.270384615384614,21.17,16.879809690124624,22.370000000000005,10.01,67.71
Kyrgyzstan,78,23.331923076923076,19.175,10.658577797686268,12.844999999999999,10.47,45.91
Uzbekistan,78,19.132051282051282,14.025,11.896618569994308,17.8675,6.09,43.77
Belarus,78,10.799358974358974,10.35,1.8740457933832984,2.4674999999999994,7.87,15.62
Tajikistan,78,8.014615384615384,7.9350000000000005,2.0829528816784855,2.925,4.74,13.39
