Type,Observations,MeanDownload,MedianDownload,SDDownload,MinDownload,MaxDownload,MeanUpload,MedianUpload,SDUpload,MinUpload,MaxUpload
Fixed,78,29.278846153846153,21.505000000000003,23.19980440920515,5.41,84.84,29.778717948717947,22.925,23.06865458385088,2.38,85.27
Cellular,78,37.695128205128206,32.2,14.012522668734261,20.85,69.82,11.324358974358974,10.18,3.125517345122032,7.21,19.36
