Əmsal,Qiymətləndirmə,SE,p_value,CI_Lower,CI_Upper
(Intercept),32.57390624999991,1.1677219980450064,1.1448487149024283e-61,30.285171133831696,34.86264136616812
Sabit (δ),-12.916718749999948,1.7525948386526413,1.0182995156802568e-11,-16.351804633759123,-9.481632866240771
Post (θ),28.53252232142869,1.7511963778603863,3.629397010571634e-35,25.100177420822334,31.964867222035046
Sabit × Post (γ),25.0738616071428,3.6389814056330807,1.3856976367487057e-10,17.94145805210196,32.20626516218364
Təsir Effekti (ATT),25.0738616071428,3.6389814056330807,1.3856976367487057e-10,17.94145805210196,32.20626516218364
