Period,N,Mean_Download,Median_Download,SD_Download,Mean_Upload,Median_Upload,SD_Upload
Post,45,42.69311111111111,33.03,22.369054804087785,43.257777777777775,33.32,21.911888417943445
Pre,33,10.986666666666666,10.72,2.999787145226585,11.398181818181818,11.21,4.054692077200079
