Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kazakhstan,All Providers Combined,Fixed,mean,35.48,35.5,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kyrgyzstan,All Providers Combined,Fixed,median,13.64,14.09,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kyrgyzstan,All Providers Combined,Fixed,mean,22.03,23.2,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Russia,All Providers Combined,Fixed,median,32.23,33.93,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Russia,All Providers Combined,Fixed,mean,50.31,53.43,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Tajikistan,All Providers Combined,Fixed,median,6.61,4,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Tajikistan,All Providers Combined,Fixed,mean,18.06,18.05,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Uzbekistan,All Providers Combined,Fixed,median,5.69,4.55,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Uzbekistan,All Providers Combined,Fixed,mean,17.07,16.22,NA,NA,NA,Jun-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Fixed,median,7.43,6.26,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Fixed,mean,17.19,18.2,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Armenia,All Providers Combined,Fixed,median,17.43,15.37,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Armenia,All Providers Combined,Fixed,mean,24.02,23.09,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Belarus,All Providers Combined,Fixed,median,33.23,24.94,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Belarus,All Providers Combined,Fixed,mean,47.94,36.88,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Kazakhstan,All Providers Combined,Fixed,median,19,17.35,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Kazakhstan,All Providers Combined,Fixed,mean,36.39,36.31,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Kyrgyzstan,All Providers Combined,Fixed,median,18.08,19.5,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Kyrgyzstan,All Providers Combined,Fixed,mean,25.6,26.86,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Russia,All Providers Combined,Fixed,median,36.21,39.47,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Russia,All Providers Combined,Fixed,mean,53.66,57.29,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Tajikistan,All Providers Combined,Fixed,median,7.48,4.87,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Tajikistan,All Providers Combined,Fixed,mean,18.81,18.35,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Uzbekistan,All Providers Combined,Fixed,median,7.96,7.06,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Uzbekistan,All Providers Combined,Fixed,mean,18.94,18.19,NA,NA,NA,Jul-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Fixed,median,6.84,5.85,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Fixed,mean,16.46,18.08,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Armenia,All Providers Combined,Fixed,median,17.78,15.66,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Armenia,All Providers Combined,Fixed,mean,24.06,23.24,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Belarus,All Providers Combined,Fixed,median,36.73,26.6,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Belarus,All Providers Combined,Fixed,mean,49.94,37.64,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Kazakhstan,All Providers Combined,Fixed,median,20.22,19.64,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Kazakhstan,All Providers Combined,Fixed,mean,38.29,38.77,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Kyrgyzstan,All Providers Combined,Fixed,median,19.04,20.43,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Kyrgyzstan,All Providers Combined,Fixed,mean,25.99,27.54,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Russia,All Providers Combined,Fixed,median,38.74,42.61,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Russia,All Providers Combined,Fixed,mean,56.42,60.41,NA,NA,NA,Aug-19
