Type,Q1_Download,Q2_Download,Q3_Download,Q1_Upload,Q2_Upload,Q3_Upload
Fixed,11.46,21.505000000000003,36.8025,12.655,22.925,36.465
Cellular,26.3625,32.2,48.027499999999996,8.955,10.18,13.045
